NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;"1. <p>Was beschreibt deine aktuelle Wohnsituation am besten?&nbsp;</p>";"2. <p>Wie viele Kinder hast du?&nbsp;</p>";3. <p>Wie alt ist dein (ältestes) Kind?</p>;4. <p>Wie alt ist dein zweitältestes Kind?</p>;5. <p>Wie alt ist dein drittältestes Kind?</p>;6. <p>Wie alt ist dein viertältestes Kind?</p>;"7. <p>Wenn du spontan an eine Marke denkst, die für deine Familie/in deiner Familie gerade eine Rolle spielt. Welche ist es?&nbsp;</p><p><br></p>";8. <p>Auf welche Spielzeugmarke können deine Kinder gerade nicht verzichten? </p>;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Alles in allem bin ich zufrieden mit meinem Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) extrem belastet;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Klimakrise belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Inflation belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) häufig einsam;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Beruf;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Kind/er;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Geld/Finanzen;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:(Schwieger)Eltern;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Gesundheitliche Probleme;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Vorsorge bzw. Rente;11. <p>In welchem Bereich fühlst du dich mit deiner Familie am meisten unter Druck gesetzt?</p>;12. <p>Wie viel Zeit kannst du dir im Alltag pro Tag für dich selbst (Me-Time) nehmen?</p>;13. <p>Wie verbringst du diese Zeit (Me-Time) überwiegend? </p>;14. <p>Wie kommen du und deine Familie derzeit mit eurem Haushaltsnettoeinkommen zurecht? </p>;15. <p>Hattest du/hatte deine Familie in den letzten zwei Monaten externe Unterstützung im Familienalltag (nicht von den direkten Familienmitgliedern aber z.B. von einem Babysitter)?</p>;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Nachbarn;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Freunde;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Kolleg:innen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Offizielle Einrichtungen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Babysitter;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Au-pair/Nanny;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:freetext;17. <p>Wenn du für 2023 eine Familienurlaub/Reise planst, wohin soll es als nächstes gehen? </p>;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Auto;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Wohnmobil/wagen;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Flugzeug;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Bahn;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem (Reise)Bus;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Kreuzfahrtschiff;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Fähre;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:freetext;19. <p>Haben „Verschwörungstheorien“ (z.B. die Erde wäre flach, Impfungen würden einhergehen mit der Einpflanzung von Chips zur Gedankenkontrolle o.ä.) Einfluss auf deine Familie?</p>;20. <p>Gibt es jemanden in deiner Familie oder familiären Umgebung, der dir Unbehagen oder Angst bereitet?</p>;21. <p>Benötigst du Hilfe?</p>;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage! 
121;m;56;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Pfarrkirchen;0;84347;DEU;Android;Mit Partner*in;3;Über 18;Über 18;Über 18;-;keine;Lego;4;2;3;3;3;3;5;3;6;5;5;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
122;m;49;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Ganderkesee;0;27777;DEU;Android;Mit Partner*in & Kind(ern);2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;lego;monopoly;6;5;5;5;4;4;6;4;5;6;5;Erwartungen der eigenen Familie;< 5 Minuten;Lesen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
123;m;46;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Baden-Baden;0;76534;DEU;Android;Mit Partner*in & Kind(ern);2;Über 18;11 bis 18 Jahre;-;-;Daimler;keine;4;4;3;6;4;4;3;4;4;4;3;Politik, die Familien nicht genug berücksichtigt;> 2 Stunden;Sport;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;0;0;1;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
124;f;43;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Ganderkesee;0;27777;DEU;iOS;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;Gut & Günstig;Schleich;6;5;4;4;2;5;6;5;6;4;6;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Nickerchen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
125;f;22;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Essen;1;45128;DEU;iOS;Alleine wohnend;1;1 bis 3 Jahre;-;-;-;Hipp;lego;5;5;6;6;4;6;6;6;3;6;3;Anforderungen von Schule / Kita;30 bis 60 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Süd-Amerika;0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
126;m;31;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Nidderau;0;61130;DEU;Android;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;toonie;siku;6;4;3;6;3;4;6;6;4;6;4;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
127;m;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Duesseldorf;1;40625;DEU;iOS;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;Unter 1 Jahr;-;-;Netflix;playmobil;5;4;3;4;3;3;5;4;3;4;5;Anforderungen von Schule / Kita;5 bis 30 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
128;f;30;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Bochum;1;44879;DEU;iOS;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;nike;Nintendo;4;4;4;4;5;4;4;4;4;4;4;Anforderungen von Schule / Kita;> 2 Stunden;Am Handy;Gut;Weiß nicht;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben eher einen Einfluss;Nein;-;Pudding
129;m;23;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Pinneberg;0;25421;DEU;iOS;Alleine wohnend;1;Unter 1 Jahr;-;-;-;coca cona;hasbro;3;5;4;4;5;4;3;5;5;5;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Lesen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;1;0;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
130;m;43;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Hauptschulabschluss;Kehl;0;77694;DEU;Android;Mit Partner*in & Kind(ern);2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;Smartphone;Lego;5;6;6;6;4;4;3;5;6;2;6;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Süd-Amerika;0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
131;m;32;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Neuss;1;41460;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;life,Balance;lego;4;6;4;6;2;3;3;6;3;4;6;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
132;f;54;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;3000€ bis 4000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Berlin;1;13055;DEU;iOS;Alleine wohnend;1;Über 18;-;-;-;Apple;keine;6;1;3;4;1;1;4;4;1;4;5;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Sport;Sehr gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
133;m;29;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Roding;0;93426;DEU;iOS;Mit Partner*in;2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;colk;cool;4;4;3;4;4;5;3;4;5;4;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;1;0;Haben eher einen Einfluss;Ja;-;Pudding
134;m;65;6;Sachsen-Anhalt;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Lutherstadt Wittenberg;0;6886;DEU;Android;Mit Partner*in;2;Über 18;Über 18;-;-;Bosch;Lego;6;5;5;6;1;5;5;5;3;6;5;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Lesen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
135;f;33;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Sulingen;0;27232;DEU;iOS;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;apple;auf lego;4;4;5;3;5;5;4;5;4;4;3;Erwartungen der eigenen Familie;> 2 Stunden;Sport;Sehr gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
136;f;36;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Lucka, Thueringen;0;4613;DEU;iOS;Mit Partner*in;1;11 bis 18 Jahre;-;-;-;Adidas;playdooh;6;5;5;5;6;6;5;6;6;5;6;Anforderungen von Schule / Kita;30 bis 60 Minuten;Am Handy;Gut;Ja;0;1;0;0;0;0;0;Westeuropa (Belgien, Frankreich, Österreich etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
137;f;37;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;1;20095;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Playmobil;Playmobil;5;2;2;3;2;2;2;2;2;2;2;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Nordeuropa (Norwegen, Schweden, inkl. Großbritannien);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
138;m;44;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Braunschweig;1;38126;DEU;Android;Mit Partner*in & Kind(ern);3;Über 18;11 bis 18 Jahre;4 bis 6 Jahre;-;Apple;Apple;5;5;4;5;5;4;4;5;3;4;5;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Serien schauen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
139;f;43;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Essen;1;45355;DEU;Android;Mit Partner*in & Kind(ern);2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;Esprit;vtech;4;4;5;4;5;5;5;5;4;5;4;Erwartungen der eigenen Familie;Ich weiß es nicht;Aufräumen;Gut;Weiß nicht;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben einen starken Einfluss;Das möchte ich nicht beantworten;-;Pudding
140;m;19;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Winnenden;0;71364;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;babybon;Lego;3;4;5;3;3;5;3;4;3;2;3;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Am Handy;Gut;Ja;0;0;1;0;0;0;0;Deutschland;0;0;0;1;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
141;f;21;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Heilbronn;1;74072;DEU;iOS;Bei meinen Eltern;1;1 bis 3 Jahre;-;-;-;Milka;Schleich;4;4;5;5;6;1;3;5;4;4;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Sport;Gut;Ja;1;1;0;0;1;0;0;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
142;m;20;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Muenchen;1;80333;DEU;iOS;Mit Kind(ern);1;1 bis 3 Jahre;-;-;-;Es ist Audi;Lego;4;3;3;4;5;4;4;3;5;4;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Aufräumen;Gut;Ja;0;0;0;1;0;0;0;Asien;0;1;0;0;0;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
143;m;33;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Ingolstadt;1;85057;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;adidas;lego;3;4;4;4;3;3;4;4;3;3;4;Anforderungen von Schule / Kita;1 bis 2 Stunden;Am Handy;Sehr gut;Nein;-;-;-;-;-;-;-;Deutschland;0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
144;f;35;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Worms;0;67551;DEU;Android;Mit Partner*in & Kind(ern);2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;Landliebe;Uno;6;3;5;5;1;6;6;5;4;5;6;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Lesen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
145;m;29;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bielefeld;1;33611;DEU;Android;Mit Partner*in;2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;nike;pokemon;5;5;6;5;6;6;5;5;5;5;6;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Meditation;Gut;Ja;1;0;1;1;0;0;0;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;1;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
146;m;29;4;Bayern;in Rente;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Burgberg im Allgaeu;0;87545;DEU;Android;Mit Partner*in;3;7 bis 10 Jahre;4 bis 6 Jahre;4 bis 6 Jahre;-;keine Ahnung;keine Ahnung;5;5;5;6;4;4;5;4;5;5;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Sport;Sehr gut;Ja;0;1;1;1;1;0;0;Asien;0;1;0;0;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
147;f;49;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Bergheim;0;50126;DEU;Android;Alleine wohnend;2;Über 18;Über 18;-;-;balea;matell;5;5;5;6;4;5;5;6;1;5;6;Gesellschaft, die Familien nicht genug unterstützt;> 2 Stunden;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben einen Einfluss;Nein;-;Pudding
148;m;47;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Stuttgart;1;70439;DEU;Android;Alleine wohnend;2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;Volkswagen;Nintendo;6;4;3;6;4;4;6;6;3;5;6;Ich fühle mich nicht unter Druck gesetzt;30 bis 60 Minuten;Am Handy;Nicht gut;Weiß nicht;-;-;-;-;-;-;-;Asien;0;0;1;0;0;0;0;0;Haben einen starken Einfluss;Nein;-;Pudding
149;f;21;7;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;0;11011;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Barbie;Lego;4;4;5;4;5;4;4;5;5;4;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Am Handy;Gut;Ja;0;1;0;0;0;0;0;Asien;1;0;0;0;0;0;0;0;Haben einen Einfluss;Nein;-;Pudding
150;f;41;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Landsberg am Lech;0;86899;DEU;Android;Mit Partner*in & Kind(ern);1;Über 18;-;-;-;Samsung;keine;4;3;5;6;3;6;4;6;1;4;6;Ich weiß es nicht;> 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
151;m;21;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Metelen;0;48629;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Sony;VTec;4;5;5;6;5;5;5;6;5;4;4;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Am Handy;Gut;Ja;1;1;1;1;1;1;0;Deutschland;0;1;0;0;1;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
152;f;42;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Neustadt bei Coburg;0;96465;DEU;Android;Mit Partner*in & Kind(ern);1;7 bis 10 Jahre;-;-;-;Schleich;Schleich;5;3;3;4;3;4;5;5;5;5;4;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Aufräumen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
153;m;56;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Berlin;1;10115;DEU;iOS;Bei meinen Eltern;4;7 bis 10 Jahre;4 bis 6 Jahre;4 bis 6 Jahre;4 bis 6 Jahre;Nike,gucci,adidas,hollister,tommy hilfiger,opel,mercededes;Playmobile,lego;5;6;6;5;5;6;6;5;6;5;5;Anforderungen von Schule / Kita;5 bis 30 Minuten;Sport;Sehr gut;Ja;1;1;1;1;1;1;0;Deutschland;0;0;1;1;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
154;f;31;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Wildeshausen;0;27793;DEU;iOS;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;h&m;lego;6;4;3;6;4;1;6;6;1;6;6;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
155;m;56;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bad Homburg vor der Hoehe;0;61350;DEU;Android;Mit Partner*in & Kind(ern);4;Über 18;Über 18;11 bis 18 Jahre;11 bis 18 Jahre;keine direkte;Lego;4;4;4;4;4;3;4;5;5;3;6;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Lesen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
156;f;37;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Enger;0;32130;DEU;Android;Mit Partner*in & Kind(ern);3;Über 18;11 bis 18 Jahre;7 bis 10 Jahre;-;lego;lego;6;1;3;4;1;3;4;5;4;4;5;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Aufräumen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
157;m;35;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Kempen;0;47906;DEU;Android;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;hasbro;lego;6;1;2;2;1;4;4;1;3;2;5;Erwartungen der eigenen Familie;1 bis 2 Stunden;Sport;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben einen starken Einfluss;Nein;-;Pudding
158;m;58;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Greifswald;0;17489;DEU;Android;Mit Partner*in;1;Über 18;-;-;-;Barbies für die Enkelin;Lego;5;2;2;5;2;2;3;5;4;2;4;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben einen starken Einfluss;Ja;-;Pudding
